# P=4 interval=2000 count=4 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.05	724090
2000	13.42	314372
4000	19.32	191499
6000	22.64	117810
8000	24.70	84761
10000	26.18	67932
12000	27.38	59908
14000	28.45	55487
16000	29.48	54705
18000	30.48	53624
20000	31.48	53126
# P=4 interval=1000 count=5 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.06	727861
2000	13.72	321120
4000	19.87	195211
6000	23.32	123262
8000	25.44	85744
10000	26.92	66401
12000	28.11	58307
14000	29.19	55793
16000	30.22	54266
18000	31.26	53293
20000	32.26	52735
# P=4 interval=1000 count=7 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.06	719359
# P=7 interval=1000 count=7 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.05	723165
2000	14.78	321575
4000	21.33	195234
6000	25.00	124007
8000	27.21	82251
10000	28.77	66555
12000	30.06	58441
14000	31.21	55108
16000	32.33	53557
18000	33.42	52690
20000	34.49	52517
# P=7 interval=3000 count=7 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.05	720365
2000	14.45	314623
4000	20.69	191135
6000	24.28	121272
8000	26.54	85111
10000	28.15	67624
12000	29.47	59068
14000	30.68	55616
16000	31.83	53109
18000	32.95	52516
20000	34.05	52115
# P=7 interval=3500 count=4 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.06	702516
2000	14.39	316398
4000	20.72	190711
6000	24.30	122155
8000	26.63	86135
10000	28.22	67070
12000	29.52	58867
14000	30.70	55068
16000	31.84	53789
18000	32.96	52953
20000	34.05	52652
# P=7 interval=3500 count=2 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.05	719341
2000	14.23	316409
4000	20.22	183326
6000	23.69	121730
8000	25.88	85981
10000	27.46	67523
12000	28.78	59418
14000	29.98	55894
16000	31.14	54167
18000	32.27	53550
20000	33.38	53112
# P=7 interval=3500 count=2 topo=chain strategy=best maxGen=20000
# Gen	Time(s)	BestDistance
0	0.10	726975
2000	45.04	351218
4000	63.68	224096
6000	73.11	142970
8000	78.48	97028
10000	82.00	72640
12000	84.75	59740
14000	87.19	56663
16000	89.47	54380
18000	91.72	53679
20000	93.94	53293
